year,state,crop,land_area,yield
2016,Taraba,maize,235.06,2
2016,Yobe,maize,198.57,1.67
2016,Zamfara,maize,229.88,1.73
2016,Abia,rice,30.34,1.45
2016,Adamawa,rice,155.81,1.7
2016,Akwa-Ibom,rice,9.64,1.78
2016,Anambra,rice,43.18,1.85
2016,Bauchi,rice,118.94,1.7
2016,Bayelsa,rice,41.8,1.99
2016,Benue,rice,206.68,2.06
2016,Borno,rice,111.62,1.6
2016,Cross River,rice,57.33,1.79
2016,Delta,rice,22.96,1.71
2016,Ebonyi,rice,47.39,2
2016,Edo,rice,57.1,1.93
2016,Ekiti,rice,67.9,1.73
2016,Enugu,rice,36.27,2.06
2016,Fct,rice,188.76,1.87
2016,Gombe,rice,99.74,1.66
2016,Imo,rice,28.51,1.93
2016,Jigawa,rice,97.29,1.92
2016,Kaduna,rice,144.31,2.05
2016,Kano,rice,171.09,2.14
2016,Katsina,rice,102.68,1.7
2016,Kebbi,rice,206.79,1.71
2016,Kogi,rice,215.5,2.07
2016,Kwara,rice,169.96,2.07
2016,Lagos,rice,34.29,1.65
2016,Nasarawa,rice,170.39,2.09
2016,Niger,rice,207.55,2.27
2016,Ogun,rice,41.99,1.45
2016,Ondo,rice,54.4,1.92
2016,Osun,rice,39.2,2.06
2016,Oyo,rice,51.13,1.71
2016,Plateau,rice,119.62,1.78
2016,Rivers,rice,35.23,1.67
2016,Sokoto,rice,79.28,1.83
2016,Taraba,rice,160.83,2.02
2016,Yobe,rice,102.09,1.53
2016,Zamfara,rice,123.66,1.77
2016,Abia,millet,,
2016,Adamawa,millet,128.79,0.86
2016,Akwa-Ibom,millet,,
2016,Anambra,millet,,
2016,Bauchi,millet,78.9,0.89
2016,Bayelsa,millet,,
2016,Benue,millet,79.7,0.77
2016,Borno,millet,92.74,0.79
2016,Cross River,millet,,
2016,Delta,millet,,
2016,Ebonyi,millet,,
2016,Edo,millet,,
2016,Ekiti,millet,,
2016,Enugu,millet,,
2016,Fct,millet,58.05,0.9
2016,Gombe,millet,108.68,0.94
2016,Imo,millet,,
2016,Jigawa,millet,89.73,0.77
2016,Kaduna,millet,60.41,0.75
2016,Kano,millet,66,0.86
2016,Katsina,millet,135.51,0.89
2016,Kebbi,millet,76.77,0.94
2016,Kogi,millet,45,0.89
2016,Kwara,millet,26,0.94
2016,Lagos,millet,,
2016,Nasarawa,millet,30.55,0.82
2016,Niger,millet,89.11,0.9
2016,Ogun,millet,,
2016,Ondo,millet,,
2016,Osun,millet,,
2016,Oyo,millet,,
2016,Plateau,millet,73.83,0.88
2016,Rivers,millet,,
2016,Sokoto,millet,140.94,0.82
2016,Taraba,millet,102,0.9
2016,Yobe,millet,173.12,0.84
2016,Zamfara,millet,82,0.79
2016,Abia,yam,205.94,7.99
2016,Adamawa,yam,186.95,7.95
2016,Akwa-Ibom,yam,280.1,5.65
2016,Anambra,yam,152.26,5.56
2016,Bauchi,yam,,
2016,Bayelsa,yam,264.52,4.35
2016,Benue,yam,205,13.1
2016,Borno,yam,,
2016,Cross River,yam,325.57,8.59
2016,Delta,yam,158.99,6.84
2016,Ebonyi,yam,213.3,8.21
2016,Edo,yam,261.16,7.11
2016,Ekiti,yam,179.82,7.61
2016,Enugu,yam,215.99,12.02
2016,Fct,yam,340.62,10.18
2016,Gombe,yam,,
2016,Imo,yam,236.32,7.23
2016,Jigawa,yam,,
2016,Kaduna,yam,182.38,12.95
2016,Kano,yam,,
2016,Katsina,yam,,
2016,Kebbi,yam,133,6.46
2016,Kogi,yam,174.23,9.42
2016,Kwara,yam,226.14,9.3
2016,Lagos,yam,186.13,4.69
2016,Nasarawa,yam,204.85,14.73
2016,Niger,yam,223,13.01
2016,Ogun,yam,137.93,7
2016,Ondo,yam,173.81,8.47
2016,Osun,yam,177.72,9.81
2016,Oyo,yam,235.55,5.28
2016,Plateau,yam,122.75,13.15
2016,Rivers,yam,382.79,2.79
2016,Sokoto,yam,,
2016,Taraba,yam,293.49,11.83
2016,Yobe,yam,,
2016,Zamfara,yam,,
2016,Abia,cassava,,
2016,Adamawa,cassava,242.72,5.5
2016,Akwa-Ibom,cassava,129.18,3.49
2016,Anambra,cassava,260.17,6.25
2016,Bauchi,cassava,222.28,8.25
2016,Bayelsa,cassava,120.07,4.01
2016,Benue,cassava,313.53,3.54
2016,Borno,cassava,312.14,11.22
2016,Cross River,cassava,379.66,5.09
2016,Delta,cassava,208.37,7.98
2016,Ebonyi,cassava,230.35,5.51
2016,Edo,cassava,263.9,5.02
2016,Ekiti,cassava,224.45,7.5
2016,Enugu,cassava,217.4,9.41
2016,Fct,cassava,413.49,4.03
2016,Gombe,cassava,115.18,5.86
2016,Imo,cassava,306.13,10.64
2016,Jigawa,cassava,124.41,3.01
2016,Kaduna,cassava,189.19,10.85
2016,Kano,cassava,115.1,3.71
2016,Katsina,cassava,102.31,3.09
2016,Kebbi,cassava,133.75,4.72
2016,Kogi,cassava,350.54,9.77
2016,Kwara,cassava,412.2,3.43
2016,Lagos,cassava,252.81,6.18
2016,Nasarawa,cassava,265.07,6.13
2016,Niger,cassava,341.26,3.84
2016,Ogun,cassava,190.3,9.95
2016,Ondo,cassava,204.35,10.65
2016,Osun,cassava,175.35,9.79
2016,Oyo,cassava,180.41,9.63
2016,Plateau,cassava,353.64,2.77
2016,Rivers,cassava,517.25,5.33
2016,Sokoto,cassava,92.64,2.42
2016,Taraba,cassava,167.91,7.91
2016,Yobe,cassava,116.6,4.11
2016,Zamfara,cassava,141.2,1.78
2016,Abia,cocoyam,,
2016,Adamawa,cocoyam,,
2016,Akwa-Ibom,cocoyam,5.29,7.48
2016,Anambra,cocoyam,,
2016,Bauchi,cocoyam,,
2016,Bayelsa,cocoyam,76.24,2.58
2016,Benue,cocoyam,,
2016,Borno,cocoyam,,
2016,Cross River,cocoyam,,
2016,Delta,cocoyam,,
2016,Ebonyi,cocoyam,,
2016,Edo,cocoyam,,
2016,Ekiti,cocoyam,24.41,
2016,Enugu,cocoyam,11.65,5.96
2016,Fct,cocoyam,25.58,6.91
2016,Gombe,cocoyam,13.29,4.94
2016,Imo,cocoyam,23.54,10.69
